form_filename,form_field_name,canonical_field
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,Below average,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,If below average explain,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,HappyContent with living situation,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,Unhappy with living situation,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,DOES,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,DOES NOT,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,Unmet needs  problems with food shelter medical care,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,If you answered DOES please explain,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,20 The power authorized by this guardianship should be,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,Unchanged,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,Decreased explain,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,Increased explain,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,undefined_15,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,If no state the reasons why the Ward does not have capacity or sufficient capacity with supports and services for a,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,complete restoration of their capacity or modification of the guardianship 1,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,complete restoration of their capacity or modification of the guardianship 2,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,complete restoration of their capacity or modification of the guardianship 3,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,complete restoration of their capacity or modification of the guardianship 4,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,complete restoration of their capacity or modification of the guardianship 5,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,Yes or No,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,Text5,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,I affirm that I already have done the following or will do so within one week of the date I sign this,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,I affirm that I will give the ward a copy of this annual report within 30 days of the date I sign the,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,I have a corporate surety bond with a yearly premium and HAVE PAID the bond premium for the next,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,I have a corporate surety bond with a yearly premium and HAVE NOT PAID the bond premium for the,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,next reporting period explain,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,I have a corporate surety forever bond and I have paid the onetime bond premium,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,I have a CASH BOND on file with the Court,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,HHSC guardianship,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,may continue on another page 1,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,may continue on another page 2,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,may continue on another page 3,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,may continue on another page 4,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,may continue on another page 5,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,may continue on another page 6,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,may continue on another page 7,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,Text7,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,insert name of guardian of the person,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,insert name of ward,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,Executed on,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,20,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,Guardians signature,guardian2_name
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,If this report is for CoGuardians also complete the following,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,insert name of coguardian of the person,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,insert name of ward_2,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,Executed on_2,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,20_2,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,CoGuardians signature if any,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,Text6,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,Text8,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,Text9,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,Text10,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,Text11,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,Check Box12,
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,start date,visit_date
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,end date,visit_date
Fillable_Annual_Report_of_the_Person-_Updated_05.2025.pdf,Court Number,cause_number
